0004011208,פיתוח מנהרות הכותל,2011,11859,0,20220
0004011209,רזרבה לעמידה ביעד,2011,,2879,0
0004011210,השתתפות משרד הביטחון -,2011,-1902,0,
0004011212,השתתפות משרד השיכון -,2011,-1,0,-1
0004011213,השתתפות משרד התיירות -,2011,-1,0,-1
0004011214,השתתפות משרד הפנים -,2011,-1,0,-1
0004011215,השתתפות משרד התחבורה -,2011,-1,0,-1
0004011216,השתתפות משרד לביטחון,2011,-1,0,-1
0004011217,השתתפות מנהל מקרקעי,2011,-4000,0,-4000
0004011219,תכנית רב שנתית לעידוד,2011,-1,0,-1
0004011221,יעודה לטיפול בתקיפה,2011,,0,241
0004011222,פיתוח שער המוגרבים-רשות העתיקות,2011,,,1582
0004011223,פיתוח שער המוגרבים,2011,656,0,2668
0004011225,"השתתפות במשרד התעשייה,",2011,-1,0,-1
0004011226,השתתפות במשרד הרווחה -,2011,-1,0,-1
0004011227,רזרבה לפרויקטים,2011,-1,0,-1
0004011230,השתתפות בלשכת הפרסום,2011,-1,0,-1
0004011245,תוכנית רב שנתית לפיתוח,2011,-1,0,-1
0004011246,השתתפות במשרד הפנים,2011,-1,0,-1
0004011247,השתתפות במשרד החקלאות,2011,-1,0,-1
0004011249,השתתפות משרד החינוך,2011,-1,0,-1
0004011250,הקמת גרעיני משימה עירוניים,2011,,,4600
0004011260,רזרבה להתשתתפויות,2011,1579,,75167
0004011307,תפעול,2011,-1,0,-1
0004011311,מיחשוב,2011,-1,0,-1
0004011401,מנהלת שירות אזרחי,2011,34468,26274,47172
0004011402,שיא כח אדם,2011,345,740,345
0004011403,עבודה בלתי צמיתה,2011,1827,1207,1827
0004011404,שעות נוספות,2011,69,138,69
0004011405,החזר הוצאות רכב,2011,235,310,235
0004011406,שכר עידוד,2011,0,41,41
0004011407,כוננויות,2011,8,14,8
0004011408,יישום חוק טל,2011,40867,26501,41323
0004011409,רזרבה להרחבת מערך,2011,,9795,0
0004011410,השתתפות המשרד לביטחון,2011,-593,-700,-700
0004011420,מערך פיקוח ובקרה,2011,1114,1500,2962
0004011421,שעות העסקה,2011,,79,79
0004011422,שיפוץ משרד המנהלה,2011,,,800
0004011501,עבודה בלתי צמיתה חודשי,2011,-1,0,-1
0004011502,שעות נוספות,2011,-1,0,-1
0004011503,החזר הוצאות רכב,2011,-1,0,-1
0004011601,עבודה בלתי צמיתה,2011,1151,1005,1139
0004011602,שעות נוספות,2011,38,64,39
0004011603,החזר הוצאות רכב,2011,122,196,123
0004011605,פעולות מטה ההסברה,2011,1397,5431,5607
0004011606,השתתפות בלשכה לפרסום,2011,129,0,136
0004011701,עבודה בלתי צמיתה,2011,-1,0,-1
0004011702,שעות נוספות,2011,-1,0,-1
0004011703,החזר הוצאות רכב,2011,-1,0,-1
0004011710,העצמת תשתיות מורשת,2011,1043,0,46396
